Date,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2015,22,ug/m3 SC,20,1,100
1/2/2015,11,ug/m3 SC,10,1,100
1/3/2015,16,ug/m3 SC,15,1,100
1/4/2015,24,ug/m3 SC,22,1,100
1/5/2015,39,ug/m3 SC,36,1,100
1/6/2015,25,ug/m3 SC,23,1,100
1/7/2015,21,ug/m3 SC,19,1,100
1/8/2015,27,ug/m3 SC,25,1,100
1/9/2015,21,ug/m3 SC,19,1,100
1/10/2015,16,ug/m3 SC,15,1,100
1/11/2015,14,ug/m3 SC,13,1,100
1/12/2015,18,ug/m3 SC,17,1,100
1/13/2015,15,ug/m3 SC,14,1,100
1/14/2015,15,ug/m3 SC,14,1,100
1/15/2015,21,ug/m3 SC,19,1,100
1/16/2015,23,ug/m3 SC,21,1,100
1/17/2015,14,ug/m3 SC,13,1,100
1/18/2015,18,ug/m3 SC,17,1,100
1/19/2015,21,ug/m3 SC,19,1,100
1/20/2015,12,ug/m3 SC,11,1,100
1/21/2015,16,ug/m3 SC,15,1,100
1/22/2015,9,ug/m3 SC,8,1,100
1/23/2015,21,ug/m3 SC,19,1,100
1/24/2015,14,ug/m3 SC,13,1,100
1/25/2015,11,ug/m3 SC,10,1,100
1/26/2015,20,ug/m3 SC,19,1,100
1/27/2015,27,ug/m3 SC,25,1,100
1/28/2015,16,ug/m3 SC,15,1,100
1/29/2015,21,ug/m3 SC,19,1,100
1/30/2015,11,ug/m3 SC,10,1,100
1/31/2015,8,ug/m3 SC,7,1,100
2/1/2015,7,ug/m3 SC,6,1,100
2/2/2015,15,ug/m3 SC,14,1,100
2/3/2015,17,ug/m3 SC,16,1,100
2/4/2015,16,ug/m3 SC,15,1,100
2/5/2015,15,ug/m3 SC,14,1,100
2/6/2015,16,ug/m3 SC,15,1,100
2/7/2015,16,ug/m3 SC,15,1,100
2/8/2015,14,ug/m3 SC,13,1,100
2/9/2015,15,ug/m3 SC,14,1,100
2/10/2015,24,ug/m3 SC,22,1,100
2/11/2015,8,ug/m3 SC,7,1,100
2/12/2015,12,ug/m3 SC,11,1,100
2/13/2015,20,ug/m3 SC,19,1,100
2/14/2015,14,ug/m3 SC,13,1,100
2/15/2015,13,ug/m3 SC,12,1,100
2/16/2015,18,ug/m3 SC,17,1,100
2/17/2015,8,ug/m3 SC,7,1,100
2/18/2015,14,ug/m3 SC,13,1,100
2/19/2015,19,ug/m3 SC,18,1,100
2/20/2015,19,ug/m3 SC,18,1,100
2/21/2015,16,ug/m3 SC,15,1,100
2/22/2015,17,ug/m3 SC,16,1,100
2/23/2015,17,ug/m3 SC,16,1,100
2/24/2015,16,ug/m3 SC,15,1,100
2/25/2015,14,ug/m3 SC,13,1,100
2/26/2015,13,ug/m3 SC,12,1,100
2/27/2015,9,ug/m3 SC,8,1,100
2/28/2015,9,ug/m3 SC,8,1,100
3/1/2015,14,ug/m3 SC,13,1,100
3/2/2015,17,ug/m3 SC,16,1,100
3/3/2015,4,ug/m3 SC,4,1,100
3/4/2015,8,ug/m3 SC,7,1,100
3/5/2015,7,ug/m3 SC,6,1,100
3/6/2015,15,ug/m3 SC,14,1,100
3/7/2015,21,ug/m3 SC,19,1,100
3/8/2015,14,ug/m3 SC,13,1,100
3/9/2015,19,ug/m3 SC,18,1,100
3/10/2015,16,ug/m3 SC,15,1,100
3/11/2015,19,ug/m3 SC,18,1,100
3/12/2015,25,ug/m3 SC,23,1,100
3/13/2015,20,ug/m3 SC,19,1,100
3/14/2015,9,ug/m3 SC,8,1,100
3/15/2015,13,ug/m3 SC,12,1,100
3/16/2015,21,ug/m3 SC,19,1,100
3/17/2015,44,ug/m3 SC,41,1,100
3/18/2015,18,ug/m3 SC,17,1,100
3/19/2015,9,ug/m3 SC,8,1,100
3/20/2015,7,ug/m3 SC,6,1,100
3/21/2015,7,ug/m3 SC,6,1,100
3/22/2015,10,ug/m3 SC,9,1,100
